valid_time,latitude,longitude,t2m,number
1981-01-01,48.65,8.2,275.22708,0
1981-01-01,48.65,8.45,274.3587,0
1981-01-01,48.4,8.2,274.5121,0
1981-01-01,48.4,8.45,273.8481,0
1981-01-02,48.65,8.2,274.3367,0
1981-01-02,48.65,8.45,273.47757,0
1981-01-02,48.4,8.2,273.7639,0
1981-01-02,48.4,8.45,273.1473,0
1981-01-03,48.65,8.2,278.59558,0
1981-01-03,48.65,8.45,277.4671,0
1981-01-03,48.4,8.2,277.64032,0
1981-01-03,48.4,8.45,276.75174,0
1981-01-04,48.4,8.45,274.89685,0
1981-01-04,48.4,8.2,275.7604,0
1981-01-04,48.65,8.2,276.48618,0
1981-01-04,48.65,8.45,275.4355,0
1981-01-05,48.65,8.2,272.80276,0
1981-01-05,48.65,8.45,271.66193,0
1981-01-05,48.4,8.2,271.97705,0
1981-01-05,48.4,8.45,271.0227,0
1981-01-06,48.65,8.2,272.83295,0
1981-01-06,48.65,8.45,271.68182,0
1981-01-06,48.4,8.2,271.9897,0
1981-01-06,48.4,8.45,271.07227,0
1981-01-07,48.4,8.45,268.0434,0
1981-01-07,48.65,8.2,269.92456,0
1981-01-07,48.65,8.45,268.43976,0
1981-01-07,48.4,8.2,268.76398,0
1981-01-08,48.4,8.45,265.2193,0
1981-01-08,48.4,8.2,266.59015,0
1981-01-08,48.65,8.2,267.97803,0
1981-01-08,48.65,8.45,265.8922,0
1981-01-09,48.65,8.2,269.7824,0
1981-01-09,48.65,8.45,267.8302,0
1981-01-09,48.4,8.2,267.58508,0
1981-01-09,48.4,8.45,265.9153,0
1981-01-10,48.65,8.2,273.1242,0
1981-01-10,48.65,8.45,272.4944,0
1981-01-10,48.4,8.2,272.4838,0
1981-01-10,48.4,8.45,271.85724,0
1981-01-11,48.65,8.2,273.3266,0
1981-01-11,48.65,8.45,272.46112,0
1981-01-11,48.4,8.2,272.96216,0
1981-01-11,48.4,8.45,272.0976,0
1981-01-12,48.65,8.45,271.13696,0
1981-01-12,48.4,8.45,271.02295,0
1981-01-12,48.65,8.2,272.03485,0
1981-01-12,48.4,8.2,271.57886,0
1981-01-13,48.65,8.2,271.61603,0
1981-01-13,48.65,8.45,270.66577,0
1981-01-13,48.4,8.2,270.95465,0
1981-01-13,48.4,8.45,270.2119,0
1981-01-14,48.65,8.2,269.39594,0
1981-01-14,48.65,8.45,268.43707,0
1981-01-14,48.4,8.2,268.67816,0
1981-01-14,48.4,8.45,268.02228,0
1981-01-15,48.4,8.2,273.09836,0
1981-01-15,48.65,8.2,273.7237,0
1981-01-15,48.65,8.45,272.85706,0
1981-01-15,48.4,8.45,272.42795,0
1981-01-16,48.4,8.45,270.6182,0
1981-01-16,48.4,8.2,271.57083,0
1981-01-16,48.65,8.2,272.39703,0
1981-01-16,48.65,8.45,271.1646,0
1981-01-17,48.65,8.2,276.01196,0
1981-01-17,48.65,8.45,275.02576,0
1981-01-17,48.4,8.2,275.34448,0
1981-01-17,48.4,8.45,274.66077,0
1981-01-18,48.65,8.2,274.4983,0
1981-01-18,48.65,8.45,273.58795,0
1981-01-18,48.4,8.2,273.8556,0
1981-01-18,48.4,8.45,273.2214,0
1981-01-19,48.4,8.45,273.78986,0
1981-01-19,48.65,8.2,275.27536,0
1981-01-19,48.65,8.45,274.2182,0
1981-01-19,48.4,8.2,274.61685,0
1981-01-20,48.4,8.45,271.9428,0
1981-01-20,48.4,8.2,272.77158,0
1981-01-20,48.65,8.2,273.3687,0
1981-01-20,48.65,8.45,272.24066,0
1981-01-21,48.65,8.2,270.63562,0
1981-01-21,48.65,8.45,268.85953,0
1981-01-21,48.4,8.2,269.84497,0
1981-01-21,48.4,8.45,268.5324,0
1981-01-22,48.4,8.2,266.8223,0
1981-01-22,48.65,8.2,267.9195,0
1981-01-22,48.65,8.45,265.07022,0
1981-01-22,48.4,8.45,264.47552,0
1981-01-23,48.4,8.45,262.71698,0
1981-01-23,48.4,8.2,264.9602,0
1981-01-23,48.65,8.45,263.1477,0
1981-01-23,48.65,8.2,266.23254,0
1981-01-24,48.65,8.2,266.02277,0
1981-01-24,48.65,8.45,263.18695,0
1981-01-24,48.4,8.2,265.5953,0
1981-01-24,48.4,8.45,263.2803,0
1981-01-25,48.65,8.2,270.73862,0
1981-01-25,48.65,8.45,269.7374,0
1981-01-25,48.4,8.2,269.40024,0
1981-01-25,48.4,8.45,268.3689,0
1981-01-26,48.4,8.2,273.3938,0
1981-01-26,48.4,8.45,272.95615,0
1981-01-26,48.65,8.2,274.12393,0
1981-01-26,48.65,8.45,273.33435,0
1981-01-27,48.65,8.2,269.91687,0
1981-01-27,48.65,8.45,268.16205,0
1981-01-27,48.4,8.2,268.99792,0
1981-01-27,48.4,8.45,267.60846,0
1981-01-28,48.65,8.2,270.42404,0
1981-01-28,48.65,8.45,267.8836,0
1981-01-28,48.4,8.2,268.7838,0
1981-01-28,48.4,8.45,266.604,0
1981-01-29,48.4,8.45,265.9533,0
1981-01-29,48.65,8.2,268.68213,0
1981-01-29,48.65,8.45,266.48895,0
1981-01-29,48.4,8.2,267.5619,0
1981-01-30,48.4,8.2,267.03217,0
1981-01-30,48.4,8.45,265.4422,0
1981-01-30,48.65,8.2,268.0053,0
1981-01-30,48.65,8.45,265.68878,0
1981-01-31,48.4,8.45,268.02344,0
1981-01-31,48.4,8.2,268.45074,0
1981-01-31,48.65,8.45,267.88947,0
1981-01-31,48.65,8.2,269.17834,0
1981-02-01,48.65,8.2,271.0236,0
1981-02-01,48.65,8.45,270.266,0
1981-02-01,48.4,8.2,270.44037,0
1981-02-01,48.4,8.45,269.88843,0
1981-02-02,48.65,8.2,272.4052,0
1981-02-02,48.65,8.45,272.1126,0
1981-02-02,48.4,8.2,271.53952,0
1981-02-02,48.4,8.45,271.02756,0
1981-02-03,48.4,8.2,273.93103,0
1981-02-03,48.4,8.45,273.5107,0
1981-02-03,48.65,8.2,274.37045,0
1981-02-03,48.65,8.45,273.99512,0
1981-02-04,48.65,8.2,275.58936,0
1981-02-04,48.65,8.45,274.7824,0
1981-02-04,48.4,8.2,275.17114,0
1981-02-04,48.4,8.45,274.64093,0
1981-02-05,48.65,8.2,273.39987,0
1981-02-05,48.65,8.45,272.3287,0
1981-02-05,48.4,8.2,272.57144,0
1981-02-05,48.4,8.45,271.85416,0
1981-02-06,48.4,8.45,273.80258,0
1981-02-06,48.65,8.2,274.92993,0
1981-02-06,48.65,8.45,274.06973,0
1981-02-06,48.4,8.2,274.39404,0
1981-02-07,48.4,8.2,277.90216,0
1981-02-07,48.4,8.45,277.2668,0
1981-02-07,48.65,8.2,278.51212,0
1981-02-07,48.65,8.45,277.61963,0
1981-02-08,48.65,8.2,278.77228,0
1981-02-08,48.65,8.45,277.76794,0
1981-02-08,48.4,8.2,278.0488,0
1981-02-08,48.4,8.45,277.3228,0
1981-02-09,48.65,8.2,278.00366,0
1981-02-09,48.65,8.45,276.88126,0
1981-02-09,48.4,8.2,277.3233,0
1981-02-09,48.4,8.45,276.45667,0
1981-02-10,48.65,8.2,276.32816,0
1981-02-10,48.65,8.45,275.21747,0
1981-02-10,48.4,8.2,275.7079,0
1981-02-10,48.4,8.45,274.8774,0
1981-02-11,48.4,8.45,271.00928,0
1981-02-11,48.4,8.2,271.99258,0
1981-02-11,48.65,8.45,271.34998,0
1981-02-11,48.65,8.2,272.50934,0
1981-02-12,48.65,8.2,269.8697,0
1981-02-12,48.65,8.45,268.43457,0
1981-02-12,48.4,8.2,269.3543,0
1981-02-12,48.4,8.45,268.2208,0
1981-02-13,48.65,8.2,268.42224,0
1981-02-13,48.65,8.45,266.82755,0
1981-02-13,48.4,8.2,268.5479,0
1981-02-13,48.4,8.45,267.40814,0
1981-02-14,48.4,8.45,266.77704,0
1981-02-14,48.65,8.2,267.87378,0
1981-02-14,48.65,8.45,266.2896,0
1981-02-14,48.4,8.2,267.71863,0
1981-02-15,48.4,8.45,267.11603,0
1981-02-15,48.4,8.2,267.83704,0
1981-02-15,48.65,8.2,268.6045,0
1981-02-15,48.65,8.45,267.56375,0
1981-02-16,48.65,8.2,268.98087,0
1981-02-16,48.65,8.45,267.64304,0
1981-02-16,48.4,8.2,268.6114,0
1981-02-16,48.4,8.45,267.6773,0
1981-02-17,48.65,8.2,271.41437,0
1981-02-17,48.65,8.45,270.36368,0
1981-02-17,48.4,8.2,270.7147,0
1981-02-17,48.4,8.45,269.88132,0
1981-02-18,48.4,8.45,270.31955,0
1981-02-18,48.65,8.2,271.6396,0
1981-02-18,48.65,8.45,270.66467,0
1981-02-18,48.4,8.2,271.2372,0
1981-02-19,48.4,8.45,268.99158,0
1981-02-19,48.4,8.2,270.06424,0
1981-02-19,48.65,8.45,269.29224,0
1981-02-19,48.65,8.2,270.4522,0
1981-02-20,48.65,8.2,269.7671,0
1981-02-20,48.65,8.45,268.58734,0
1981-02-20,48.4,8.2,269.39697,0
1981-02-20,48.4,8.45,268.34717,0
1981-02-21,48.4,8.45,268.35684,0
1981-02-21,48.65,8.2,269.61426,0
1981-02-21,48.65,8.45,268.4831,0
1981-02-21,48.4,8.2,269.4734,0
1981-02-22,48.4,8.2,267.7326,0
1981-02-22,48.4,8.45,266.6771,0
1981-02-22,48.65,8.2,267.967,0
1981-02-22,48.65,8.45,266.426,0
1981-02-23,48.4,8.45,267.36682,0
1981-02-23,48.4,8.2,268.49258,0
1981-02-23,48.65,8.2,268.5238,0
1981-02-23,48.65,8.45,267.33392,0
1981-02-24,48.65,8.2,269.9386,0
1981-02-24,48.65,8.45,268.5088,0
1981-02-24,48.4,8.2,270.03943,0
1981-02-24,48.4,8.45,268.94537,0
1981-02-25,48.65,8.2,270.6153,0
1981-02-25,48.65,8.45,269.23987,0
1981-02-25,48.4,8.2,270.32147,0
1981-02-25,48.4,8.45,269.39948,0
1981-02-26,48.4,8.45,271.29218,0
1981-02-26,48.4,8.2,271.97263,0
1981-02-26,48.65,8.45,270.86075,0
1981-02-26,48.65,8.2,271.91034,0
1981-02-27,48.65,8.2,271.60077,0
1981-02-27,48.65,8.45,270.4505,0
1981-02-27,48.4,8.2,271.37762,0
1981-02-27,48.4,8.45,270.22064,0
1981-02-28,48.65,8.2,272.3788,0
1981-02-28,48.65,8.45,271.65723,0
1981-02-28,48.4,8.2,272.25134,0
1981-02-28,48.4,8.45,271.43427,0
1981-03-01,48.4,8.2,276.80396,0
1981-03-01,48.4,8.45,275.86395,0
1981-03-01,48.65,8.2,277.30524,0
1981-03-01,48.65,8.45,276.37915,0
1981-03-02,48.65,8.45,277.38174,0
1981-03-02,48.4,8.2,277.56927,0
1981-03-02,48.65,8.2,278.08667,0
1981-03-02,48.4,8.45,276.5763,0
1981-03-03,48.4,8.45,276.06705,0
1981-03-03,48.4,8.2,277.07318,0
1981-03-03,48.65,8.2,277.88208,0
1981-03-03,48.65,8.45,276.86188,0
1981-03-04,48.65,8.2,275.36032,0
1981-03-04,48.65,8.45,274.2391,0
1981-03-04,48.4,8.2,274.8075,0
1981-03-04,48.4,8.45,273.87854,0
1981-03-05,48.65,8.2,275.1388,0
1981-03-05,48.65,8.45,274.10397,0
1981-03-05,48.4,8.2,274.56955,0
1981-03-05,48.4,8.45,273.58286,0
1981-03-06,48.65,8.2,276.4104,0
1981-03-06,48.65,8.45,275.81238,0
1981-03-06,48.4,8.2,275.9886,0
1981-03-06,48.4,8.45,275.0465,0
1981-03-07,48.4,8.45,280.10483,0
1981-03-07,48.4,8.2,281.26117,0
1981-03-07,48.65,8.2,282.1228,0
1981-03-07,48.65,8.45,281.3225,0
1981-03-08,48.65,8.2,283.57916,0
1981-03-08,48.65,8.45,282.7951,0
1981-03-08,48.4,8.2,282.66428,0
1981-03-08,48.4,8.45,281.57477,0
1981-03-09,48.65,8.2,284.39777,0
1981-03-09,48.65,8.45,283.46686,0
1981-03-09,48.4,8.2,283.6632,0
1981-03-09,48.4,8.45,282.81326,0
1981-03-10,48.65,8.2,285.1716,0
1981-03-10,48.65,8.45,284.5022,0
1981-03-10,48.4,8.2,284.667,0
1981-03-10,48.4,8.45,284.0053,0
1981-03-11,48.4,8.45,286.266,0
1981-03-11,48.4,8.2,286.92804,0
1981-03-11,48.65,8.2,287.2946,0
1981-03-11,48.65,8.45,286.66678,0
1981-03-12,48.65,8.2,283.9148,0
1981-03-12,48.65,8.45,283.15674,0
1981-03-12,48.4,8.2,283.22107,0
1981-03-12,48.4,8.45,282.57648,0
1981-03-13,48.65,8.2,280.95892,0
1981-03-13,48.65,8.45,280.11282,0
1981-03-13,48.4,8.2,280.17215,0
1981-03-13,48.4,8.45,279.40024,0
1981-03-14,48.4,8.45,278.23975,0
1981-03-14,48.65,8.2,279.73413,0
1981-03-14,48.65,8.45,278.85443,0
1981-03-14,48.4,8.2,278.9808,0
1981-03-15,48.4,8.45,277.22,0
1981-03-15,48.4,8.2,277.87057,0
1981-03-15,48.65,8.2,278.39838,0
1981-03-15,48.65,8.45,277.62085,0
1981-03-16,48.65,8.2,276.99957,0
1981-03-16,48.65,8.45,276.3968,0
1981-03-16,48.4,8.2,276.36374,0
1981-03-16,48.4,8.45,275.7264,0
1981-03-17,48.4,8.2,274.52808,0
1981-03-17,48.65,8.2,275.32074,0
1981-03-17,48.65,8.45,274.68854,0
1981-03-17,48.4,8.45,273.91135,0
1981-03-18,48.4,8.45,272.82495,0
1981-03-18,48.4,8.2,273.52332,0
1981-03-18,48.65,8.45,273.60645,0
1981-03-18,48.65,8.2,274.23907,0
1981-03-19,48.65,8.2,276.2196,0
1981-03-19,48.65,8.45,275.25952,0
1981-03-19,48.4,8.2,275.25797,0
1981-03-19,48.4,8.45,274.25284,0
1981-03-20,48.65,8.2,278.82385,0
1981-03-20,48.65,8.45,278.3525,0
1981-03-20,48.4,8.2,278.6233,0
1981-03-20,48.4,8.45,277.96777,0
1981-03-21,48.4,8.2,282.4388,0
