"Station","","'=","1301 Bad Rotenfels Murg 10 47",""
"Komponente","","'=","3 91 2 Schüttung, Durchfluss Q m³/s OG",""
"Produkt","","'=","1 0000010000 3 Tagesmittelwert",""
"Zeitraum","","'=","Thu Jan 01 00:00:00 CET 1981 Tue Dec 31 23:59:59 CET 2024",""


"Messstellennummer","Stationsname","Gewässer","Parameter","Datum / Uhrzeit","Zeitbezug","Wert","Einheit","Produkt"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-01","MEZ","17,644","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-02","MEZ","23,305","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-03","MEZ","53,963","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-04","MEZ","75,475","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-05","MEZ","42,074","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-06","MEZ","37,276","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-07","MEZ","30,832","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-08","MEZ","26,065","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-09","MEZ","20,853","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-10","MEZ","19,201","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-11","MEZ","15,689","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-12","MEZ","18,537","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-13","MEZ","15,962","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-14","MEZ","16,149","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-15","MEZ","20,055","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-16","MEZ","14,155","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-17","MEZ","16,828","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-18","MEZ","15,903","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-19","MEZ","16,746","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-20","MEZ","20,054","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-21","MEZ","19,081","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-22","MEZ","16,126","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-23","MEZ","14,356","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-24","MEZ","13,085","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-25","MEZ","12,599","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-26","MEZ","12,178","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-27","MEZ","12,012","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-28","MEZ","12,177","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-29","MEZ","13,226","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-30","MEZ","13,903","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-01-31","MEZ","11,11","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-01","MEZ","9,003","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-02","MEZ","10,288","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-03","MEZ","12,106","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-04","MEZ","33,981","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-05","MEZ","23,379","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-06","MEZ","19,83","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-07","MEZ","28,683","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-08","MEZ","45,028","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-09","MEZ","34,35","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-10","MEZ","29,975","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-11","MEZ","27,62","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-12","MEZ","21,612","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-13","MEZ","19,785","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-14","MEZ","18,188","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-15","MEZ","16,062","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-16","MEZ","16,389","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-17","MEZ","14,328","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-18","MEZ","15,24","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-19","MEZ","13,373","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-20","MEZ","13,168","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-21","MEZ","11,635","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-22","MEZ","9,44","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-23","MEZ","9,989","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-24","MEZ","10,63","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-25","MEZ","10,46","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-26","MEZ","10,586","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-27","MEZ","10,815","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-28","MEZ","10,048","m³/s","Tagesmittelwert"
